codigo_modular,comunicacion_pct,matematica_pct,produccion_textos_pct,num_materias_con_datos,Y3_PR
0428714,0.0,0.0,0.0,0,
0481093,11.11,0.0,6.67,2,8.89
0488403,0.0,0.0,0.0,0,
0600692,0.0,0.52,0.61,2,0.565
1060276,0.0,0.0,1.96,1,1.96
1062058,0.0,0.95,0.0,1,0.95
1148402,10.0,0.0,0.0,1,10.0
1153881,0.0,0.0,0.0,0,
1153964,0.0,0.0,13.33,1,13.33
1154400,8.0,4.0,0.0,2,6.0
1210491,1.03,0.0,0.0,1,1.03
1261577,2.28,0.0,0.0,1,2.28
1261775,0.0,0.0,0.0,0,
1262856,0.0,0.0,0.0,0,
1263219,0.0,0.0,0.0,0,
1315084,0.0,0.0,0.0,0,
1320001,0.0,0.0,16.67,1,16.67
1343813,3.0,0.0,0.0,1,3.0
1376318,0.0,9.68,0.0,1,9.68
1402866,0.0,0.0,0.0,0,
1433515,0.0,0.0,100.0,1,100.0
1457365,0.0,0.0,0.0,0,
1457605,8.91,0.0,0.0,1,8.91
1527233,5.48,5.48,0.0,2,5.48
1563212,0.0,0.0,0.0,0,
1633189,0.0,0.0,0.0,0,
1715820,0.0,0.0,0.0,0,
1741123,0.76,0.0,0.0,1,0.76
1768829,0.0,0.0,14.29,1,14.29
1772672,0.0,0.0,31.71,1,31.71
1781897,0.0,0.0,12.5,1,12.5
204933,0.0,0.0,0.0,0,
204974,6.8,8.13,0.0,2,7.465
205401,3.66,0.0,0.0,1,3.66
205716,0.0,0.0,0.0,0,
2533906,0.0,0.0,0.0,0,
260307,0.0,0.0,0.0,0,
260315,2.39,0.48,5.88,3,2.9166666666666665
271379,5.56,1.35,25.93,3,10.946666666666667
271551,0.0,0.0,15.38,1,15.38
272773,0.0,0.0,0.0,0,
273359,0.0,0.0,0.0,0,
275107,4.76,5.0,13.33,3,7.696666666666666
3025715,5.56,0.0,0.0,1,5.56
350447,4.88,0.41,15.54,3,6.9433333333333325
350496,7.94,0.79,9.84,3,6.19
355271,0.0,0.0,7.14,1,7.14
355289,12.5,12.5,0.0,2,12.5
398347,0.0,0.0,0.0,0,
409672,17.75,9.24,0.0,2,13.495000000000001
409706,5.15,14.29,0.0,2,9.719999999999999
409797,0.0,0.0,0.0,0,
410100,5.0,0.0,0.0,1,5.0
410118,0.0,0.0,0.0,0,
410225,7.78,0.97,0.0,2,4.375
410233,0.0,0.0,0.0,0,
410258,0.42,0.95,0.0,2,0.6849999999999999
410266,0.88,0.0,0.0,1,0.88
410316,23.7,22.22,0.0,2,22.96
420380,13.33,0.0,28.57,2,20.95
420406,0.0,0.0,0.0,0,
420430,7.32,0.0,0.0,1,7.32
428771,0.0,0.0,0.0,0,
428920,0.0,0.0,15.63,1,15.63
464610,37.5,0.0,0.0,1,37.5
464628,30.0,20.0,0.0,2,25.0
487140,0.0,20.0,0.0,1,20.0
519793,0.91,0.0,0.0,1,0.91
520221,3.45,0.0,0.0,1,3.45
530535,0.0,0.0,0.0,0,
561084,7.35,0.74,6.9,3,4.996666666666667
579987,6.38,0.0,18.42,2,12.4
592428,6.62,0.0,0.0,1,6.62
592543,10.03,0.87,0.0,2,5.449999999999999
613943,4.08,0.0,8.33,2,6.205
666677,11.11,0.0,0.0,1,11.11
673780,0.0,0.0,11.11,1,11.11
674895,0.0,0.0,0.0,0,
682211,0.59,0.0,2.63,2,1.6099999999999999
686386,0.0,0.0,0.0,0,
733535,0.0,0.0,0.0,0,
733600,0.0,0.0,0.0,0,
738427,1.66,0.0,4.09,2,2.875
740365,12.9,0.0,26.09,2,19.495
830885,0.0,12.5,0.0,1,12.5
840504,0.0,0.0,10.0,1,10.0
840595,1.59,0.0,2.27,2,1.9300000000000002
